	Title	Links	Publication Date
0	В Москве загорелся ангар на территории завода	https://tass.ru/proisshestviya/17146091	Sun, 26 Feb 2023 23:08:59 +0300
1	"Кадыров: бойцы спецназа ""Ахмат"" прошли курсы по управлению квадрокоптерами"	https://tass.ru/armiya-i-opk/17146089	Sun, 26 Feb 2023 23:08:14 +0300
2	Словения намерена развивать экономические отношения с Австрией	https://tass.ru/mezhdunarodnaya-panorama/17146087	Sun, 26 Feb 2023 22:38:46 +0300
3	СМИ: десятки палестинцев пострадали в стычках с израильтянами на Западном берегу	https://tass.ru/mezhdunarodnaya-panorama/17146073	Sun, 26 Feb 2023 22:28:49 +0300
4	AP: в Шри-Ланке в результате акций протеста пострадали 15 человек	https://tass.ru/obschestvo/17146041	Sun, 26 Feb 2023 22:28:02 +0300
5	Белый дом приветствовал договоренности израильтян и палестинцев о предотвращении эскалации	https://tass.ru/mezhdunarodnaya-panorama/17146065	Sun, 26 Feb 2023 22:25:51 +0300
6	Посол РФ: поставка ФРГ танков Украине переведет конфликт на новый уровень эскалации	https://tass.ru/politika/17146045	Sun, 26 Feb 2023 22:24:31 +0300
7	В Белоруссии планируют в 2023 году нарастить экспорт промышленной продукции в РФ на 10%	https://tass.ru/ekonomika/17146055	Sun, 26 Feb 2023 22:22:26 +0300
8	Двое сирийских военных погибли в результате обстрела со стороны боевиков	https://tass.ru/armiya-i-opk/17146021	Sun, 26 Feb 2023 22:04:26 +0300
9	Папуа - Новая Гвинея откроет посольство в Израиле	https://tass.ru/mezhdunarodnaya-panorama/17146031	Sun, 26 Feb 2023 22:02:20 +0300
10	Боррель заявил, что Евросоюз изучит план Китая по Украине	https://tass.ru/mezhdunarodnaya-panorama/17146001	Sun, 26 Feb 2023 21:56:12 +0300
11	В Бразилии поприветствовали инициативу КНР по Украине	https://tass.ru/mezhdunarodnaya-panorama/17145973	Sun, 26 Feb 2023 21:36:47 +0300
12	ФРГ закажет самоходные артиллерийские установки к концу марта для пополнения запасов ВС	https://tass.ru/mezhdunarodnaya-panorama/17145949	Sun, 26 Feb 2023 21:34:12 +0300
13	"Футболисты ""Манчестер Юнайтед"" стали обладателями Кубка английской лиги"	https://tass.ru/sport/17145965	Sun, 26 Feb 2023 21:30:46 +0300
14	В Белоруссии опровергли информацию о перестрелке на границе с Украиной	https://tass.ru/mezhdunarodnaya-panorama/17145959	Sun, 26 Feb 2023 21:29:05 +0300
15	Экс-госсекретарь США призвала не считать, что в ситуации на Украине время на стороне Киева	https://tass.ru/mezhdunarodnaya-panorama/17145909	Sun, 26 Feb 2023 21:28:31 +0300
16	Экс-глава МИД Югославии: ЕС ультимативно призвал Сербию признать независимость Косова	https://tass.ru/mezhdunarodnaya-panorama/17145899	Sun, 26 Feb 2023 21:12:38 +0300
17	В Петропавловской крепости Масленицу встретили блинным пирогом	https://tass.ru/v-strane/17145827	Sun, 26 Feb 2023 21:11:01 +0300
18	В России в 2022 году почти 50 уголовных дел возбудили за дебоши в аэропортах и самолетах	https://tass.ru/obschestvo/17145873	Sun, 26 Feb 2023 21:09:51 +0300
19	Женщина пострадала в ходе конфликта со стрельбой на трассе в Подмосковье	https://tass.ru/proisshestviya/17145833	Sun, 26 Feb 2023 21:08:07 +0300
20	Визит саудовского министра в Киев и новые санкции ЕС. Ситуация вокруг Украины	https://tass.ru/mezhdunarodnaya-panorama/17145721	Sun, 26 Feb 2023 21:07:03 +0300
21	В Таджикистане три человека погибли в результате схода лавины	https://tass.ru/proisshestviya/17145839	Sun, 26 Feb 2023 21:06:51 +0300
22	"Регулярный чемпионат КХЛ завершился победой СКА и неудачей ""Спартака"""	https://tass.ru/sport/17145881	Sun, 26 Feb 2023 21:06:50 +0300
23	Арабский парламентский союз выступил за восстановление региональной роли Сирии	https://tass.ru/mezhdunarodnaya-panorama/17145813	Sun, 26 Feb 2023 21:05:30 +0300
24	В Тунисе состоялись праздничные гуляния по случаю Масленицы	https://tass.ru/obschestvo/17145847	Sun, 26 Feb 2023 21:03:50 +0300
25	Глава МИД Египта 27 февраля посетит Сирию и Турцию впервые за десятилетие	https://tass.ru/mezhdunarodnaya-panorama/17145819	Sun, 26 Feb 2023 21:01:34 +0300
26	"Нагорных заявил, что ""Локомотив"" не ведет переговоры о покупке других футбольных клубов"	https://tass.ru/sport/17145865	Sun, 26 Feb 2023 21:01:32 +0300
27	СК возбудил дело после массового ДТП в Новгородской области	https://tass.ru/proisshestviya/17145857	Sun, 26 Feb 2023 21:00:24 +0300
28	"В Дзержинске объявили победителей первого фестиваля отечественного кино ""Черноречье фест"""	https://tass.ru/kultura/17145793	Sun, 26 Feb 2023 20:59:52 +0300
29	СМИ: число жертв последствий ливней в Бразилии превысило 60	https://tass.ru/proisshestviya/17145755	Sun, 26 Feb 2023 20:59:18 +0300
30	"Хохлачев считает, что в ""Спартаке"" по ходу сезона не было равнодушных хоккеистов"	https://tass.ru/sport/17145837	Sun, 26 Feb 2023 20:55:21 +0300
31	В Запорожской области сообщили, что ВСУ обстреляли колледж в Васильевке	https://tass.ru/proisshestviya/17145799	Sun, 26 Feb 2023 20:50:49 +0300
32	"Обладатель Кубка Стэнли Иван Барбашев перешел в ""Вегас"""	https://tass.ru/sport/17145807	Sun, 26 Feb 2023 20:48:29 +0300
33	Зеленский заявил, что подписал указы о введении новых санкций против россиян	https://tass.ru/ekonomika/17145765	Sun, 26 Feb 2023 20:47:22 +0300
34	"В Петербурге возбудили уголовное дело о хулиганстве в ТРК ""Галерея"""	https://tass.ru/proisshestviya/17145773	Sun, 26 Feb 2023 20:43:24 +0300
35	"Заварухин считает, что в невыходе ""Спартака"" в плей-офф виноваты и тренеры, и хоккеисты"	https://tass.ru/sport/17145753	Sun, 26 Feb 2023 20:38:43 +0300
36	Премьер Британии и глава ЕК встретятся 27 февраля для завершения новой сделки по Brexit	https://tass.ru/mezhdunarodnaya-panorama/17145747	Sun, 26 Feb 2023 20:35:49 +0300
37	В Париже прошла манифестация против поставок оружия Киеву и за выход Франции из НАТО	https://tass.ru/obschestvo/17145739	Sun, 26 Feb 2023 20:33:59 +0300
38	Nokia представила новую стратегию и логотип компании	https://tass.ru/ekonomika/17145713	Sun, 26 Feb 2023 20:28:44 +0300
39	В Брюсселе прошла акция за дипломатическое урегулирование конфликта на Украине	https://tass.ru/mezhdunarodnaya-panorama/17145687	Sun, 26 Feb 2023 20:26:24 +0300
40	Экс-госсекретарь США Райс выразила сомнения по поводу шансов Украины на вступление в НАТО	https://tass.ru/mezhdunarodnaya-panorama/17145671	Sun, 26 Feb 2023 20:20:26 +0300
41	В Турции требуют принять меры из-за призывов футбольных фанатов к отставке правительства	https://tass.ru/mezhdunarodnaya-panorama/17145627	Sun, 26 Feb 2023 20:17:17 +0300
42	Лидеры ЕС потребовали от Белграда и Приштины быстрого решения по переговорам	https://tass.ru/mezhdunarodnaya-panorama/17145633	Sun, 26 Feb 2023 20:12:55 +0300
43	Мирзиёев заявил о готовности Узбекистана поддержать пострадавшую от землетрясения Турцию	https://tass.ru/mezhdunarodnaya-panorama/17145555	Sun, 26 Feb 2023 20:12:00 +0300
44	Правозащитник считает, что ЕС не должен включать в свои ряды Киев	https://tass.ru/mezhdunarodnaya-panorama/17145611	Sun, 26 Feb 2023 20:06:30 +0300
45	СМИ: в Нагорном Карабахе с 27 февраля возобновят работу детские сады	https://tass.ru/mezhdunarodnaya-panorama/17145577	Sun, 26 Feb 2023 19:57:28 +0300
46	В Москве восстановили движение по внешней стороне ТТК	https://tass.ru/proisshestviya/17145583	Sun, 26 Feb 2023 19:55:30 +0300
47	В Республике Сербской из-за снегопада без электричества остались свыше 1 тыс. домохозяйств	https://tass.ru/obschestvo/17145465	Sun, 26 Feb 2023 19:54:43 +0300
48	Определились все пары плей-офф Континентальной хоккейной лиги	https://tass.ru/sport/17145591	Sun, 26 Feb 2023 19:53:19 +0300
49	Минобороны РФ сообщило об эвакуации из Нагорного Карабаха почти 50 иностранных граждан	https://tass.ru/armiya-i-opk/17145569	Sun, 26 Feb 2023 19:51:37 +0300
50	В Минфине заявили, что санкции ЕС не отразятся на инвестициях и доступности средств ФНБ	https://tass.ru/ekonomika/17145537	Sun, 26 Feb 2023 19:48:25 +0300
51	"Шмыгаль исключил возможность примирения Украины и России ""в ближайшие 100 лет"""	https://tass.ru/mezhdunarodnaya-panorama/17145561	Sun, 26 Feb 2023 19:47:01 +0300
52	"Московское ""Динамо"" победило ""Спартак"" в заключительном матче регулярного чемпионата КХЛ"	https://tass.ru/sport/17145543	Sun, 26 Feb 2023 19:43:59 +0300
53	Фонд Кадырова направил гуманитарную помощь жителям пяти горных населенных пунктов Сирии	https://tass.ru/obschestvo/17145523	Sun, 26 Feb 2023 19:42:15 +0300
54	Израиль и палестинцы договорились прекратить односторонние шаги, ведущие к эскалации	https://tass.ru/mezhdunarodnaya-panorama/17145501	Sun, 26 Feb 2023 19:36:22 +0300
55	"""Синара"" в третий раз стала обладателем Кубка России по мини-футболу"	https://tass.ru/sport/17145477	Sun, 26 Feb 2023 19:26:29 +0300
56	В Белом доме полагают, что мирный план КНР не учитывает позицию Украины	https://tass.ru/mezhdunarodnaya-panorama/17145455	Sun, 26 Feb 2023 19:21:38 +0300
57	На востоке Мексики в результате пожара на НПЗ погибли два человека	https://tass.ru/proisshestviya/17145443	Sun, 26 Feb 2023 19:21:18 +0300
58	В Ленинградской области ликвидировали пожар на складе бытовой химии	https://tass.ru/proisshestviya/17145403	Sun, 26 Feb 2023 19:14:04 +0300
59	"""Тинькофф инвестиции"" приостановят торги евро с 27 февраля"	https://tass.ru/ekonomika/17145437	Sun, 26 Feb 2023 19:13:33 +0300
60	На Украине заявили, что компания из ФРГ предложила Киеву совместно производить оружие	https://tass.ru/mezhdunarodnaya-panorama/17145415	Sun, 26 Feb 2023 19:12:02 +0300
61	"""Тинькофф инвестиции"" приостановили торговлю иностранными ценными бумагами"	https://tass.ru/ekonomika/17145431	Sun, 26 Feb 2023 19:11:22 +0300
62	"Клуб НХЛ ""Монреаль"" обменял Дадонова в ""Даллас"" на Гурьянова"	https://tass.ru/sport/17145409	Sun, 26 Feb 2023 19:10:29 +0300
63	В России могут увеличить штраф за проход по железнодорожным путям в неустановленном месте	https://tass.ru/obschestvo/17145397	Sun, 26 Feb 2023 19:05:02 +0300
64	Президент Республики Сербской потребовал закрытия офиса высокого представителя в БиГ	https://tass.ru/mezhdunarodnaya-panorama/17145377	Sun, 26 Feb 2023 18:58:27 +0300
65	В США заявили, что беседа Байдена и Си Цзиньпина может состояться в обозримом будущем	https://tass.ru/mezhdunarodnaya-panorama/17145371	Sun, 26 Feb 2023 18:53:45 +0300
66	В Курске представят экспонаты из фондов студии военных художников имени Грекова	https://tass.ru/v-strane/17145369	Sun, 26 Feb 2023 18:48:04 +0300
67	На трассе М-11 возобновили движение в сторону Петербурга после массового ДТП	https://tass.ru/proisshestviya/17145361	Sun, 26 Feb 2023 18:45:20 +0300
68	На авиабазе Рамштайн проходит массовая демонстрация против поставок оружия Украине	https://tass.ru/mezhdunarodnaya-panorama/17145349	Sun, 26 Feb 2023 18:42:37 +0300
69	МИД Ирана: нормализация отношений между Тегераном и Эр-Риядом принесет пользу региону	https://tass.ru/mezhdunarodnaya-panorama/17145341	Sun, 26 Feb 2023 18:40:34 +0300
70	Кандидат в сборную России по BMX умер в возрасте 13 лет	https://tass.ru/sport/17145311	Sun, 26 Feb 2023 18:33:30 +0300
71	"""Челси"" уступил ""Тоттенхэму"" в чемпионате Англии и продлил серию без побед до шести матчей"	https://tass.ru/sport/17145305	Sun, 26 Feb 2023 18:32:40 +0300
72	Патриарх Кирилл попросил у всех верующих прощения и благословил их на Великий пост	https://tass.ru/obschestvo/17145279	Sun, 26 Feb 2023 18:31:58 +0300
73	Глава ЦРУ считает, что только военные успехи Киева могут приблизить переговоры по Украине	https://tass.ru/mezhdunarodnaya-panorama/17145259	Sun, 26 Feb 2023 18:29:12 +0300
74	Глава МИД Саудовской Аравии впервые с момента установления дипотношений посетил Украину	https://tass.ru/mezhdunarodnaya-panorama/17145271	Sun, 26 Feb 2023 18:28:29 +0300
75	Число погибших в результате землетрясений в Турции достигло 44 374	https://tass.ru/proisshestviya/17145293	Sun, 26 Feb 2023 18:27:34 +0300
76	Во Франции считают, что новые санкции против России говорят о полном провале политики ЕС	https://tass.ru/mezhdunarodnaya-panorama/17145239	Sun, 26 Feb 2023 18:26:16 +0300
77	Guardian: в Германии эксгумировали тело поджигателя Рейхстага Маринуса ван дер Люббе	https://tass.ru/obschestvo/17145217	Sun, 26 Feb 2023 18:25:35 +0300
78	Саудовская Аравия выделит $410 млн на гуманитарную помощь Украине	https://tass.ru/mezhdunarodnaya-panorama/17145225	Sun, 26 Feb 2023 18:19:47 +0300
79	Король Иордании призвал к возобновлению палестино-израильских переговоров о мире	https://tass.ru/mezhdunarodnaya-panorama/17145185	Sun, 26 Feb 2023 18:18:37 +0300
80	В Новосибирске полиция задержала подростков в ТЦ	https://tass.ru/proisshestviya/17145203	Sun, 26 Feb 2023 18:18:03 +0300
81	Глава ЦРУ заявил о важности сохранения открытыми линий связи с Россией	https://tass.ru/mezhdunarodnaya-panorama/17145153	Sun, 26 Feb 2023 18:04:17 +0300
82	Вучич заявил, что Госдеп настаивает на формировании Сообщества сербских муниципалитетов	https://tass.ru/mezhdunarodnaya-panorama/17145141	Sun, 26 Feb 2023 18:02:33 +0300
83	В ДТП в Татарстане погибли два человека	https://tass.ru/proisshestviya/17145149	Sun, 26 Feb 2023 18:01:35 +0300
84	Помощник Байдена не смог сказать, поддержат ли США боевые действия Украины в Крыму	https://tass.ru/mezhdunarodnaya-panorama/17145129	Sun, 26 Feb 2023 17:58:06 +0300
85	Записавших обращение мобилизованных из Иркутской области переведут к другому месту службы	https://tass.ru/armiya-i-opk/17145113	Sun, 26 Feb 2023 17:55:39 +0300
86	Пианисты из России заняли призовые места на конкурсе в Японии	https://tass.ru/kultura/17145119	Sun, 26 Feb 2023 17:53:22 +0300
87	Комиссия кабмина Израиля одобрила законопроект о смертной казни для террористов	https://tass.ru/mezhdunarodnaya-panorama/17145093	Sun, 26 Feb 2023 17:43:27 +0300
88	СМИ: в Турции арестовали 188 застройщиков и подрядчиков после землетрясений	https://tass.ru/proisshestviya/17145099	Sun, 26 Feb 2023 17:43:21 +0300
89	СМИ: заявления Байдена о демократии выглядят устаревшими на фоне нового миропорядка	https://tass.ru/mezhdunarodnaya-panorama/17145081	Sun, 26 Feb 2023 17:39:31 +0300
90	В Женеве отменили концерт рэпера Ломепаля из-за террористической угрозы	https://tass.ru/obschestvo/17145073	Sun, 26 Feb 2023 17:38:55 +0300
91	В Италии задержали подозреваемого в перевозке мигрантов после ЧП с 45 погибшими	https://tass.ru/mezhdunarodnaya-panorama/17145063	Sun, 26 Feb 2023 17:32:17 +0300
92	В США не пришли к окончательному выводу о происхождении коронавируса	https://tass.ru/mezhdunarodnaya-panorama/17145049	Sun, 26 Feb 2023 17:29:12 +0300
93	В США считают, что КНР не приняла окончательного решения о военной помощи России	https://tass.ru/mezhdunarodnaya-panorama/17145037	Sun, 26 Feb 2023 17:27:26 +0300
94	В РПЦ призвали молодежь Донбасса быть носителем мировоззрения о единстве региона с Россией	https://tass.ru/obschestvo/17145027	Sun, 26 Feb 2023 17:23:47 +0300
95	Выручка московских IT-компаний выросла на 17,5% в 2022 году	https://tass.ru/ekonomika/17145021	Sun, 26 Feb 2023 17:22:10 +0300
96	В ДТП в Якутии пострадали шесть человек	https://tass.ru/proisshestviya/17145017	Sun, 26 Feb 2023 17:18:40 +0300
97	В США заявили, что вопрос о поставках Украине F-16 не будет решен в обозримой перспективе	https://tass.ru/mezhdunarodnaya-panorama/17145013	Sun, 26 Feb 2023 17:11:35 +0300
98	Победителями фестиваля снежных фигур в Поморье стали команды из Вельска и Каргополя	https://tass.ru/v-strane/17145009	Sun, 26 Feb 2023 17:11:16 +0300
99	В Молдавии заявили, что не обсуждают вопрос вступления в НАТО	https://tass.ru/mezhdunarodnaya-panorama/17144999	Sun, 26 Feb 2023 17:07:12 +0300
100	Назван еще один возможный соперник сборной России в международном матче	https://lenta.ru/news/2023/02/26/football_iraq/	Sun, 26 Feb 2023 23:16:06 +0300
101	В Британии обвинили Украину в масштабном отмывании денег	https://lenta.ru/news/2023/02/26/laundering/	Sun, 26 Feb 2023 22:59:00 +0300
102	В МИД России усомнились в нейтралитете Швейцарии	https://lenta.ru/news/2023/02/26/zaxarova_shwitz/	Sun, 26 Feb 2023 22:54:00 +0300
103	В США назвали преступной отправку Украине 100 миллиардов долларов военной помощи	https://lenta.ru/news/2023/02/26/crime/	Sun, 26 Feb 2023 22:32:00 +0300
104	Тысячи человек потребовали закрыть американскую базу Рамштайн в Германии	https://lenta.ru/news/2023/02/26/ramstain/	Sun, 26 Feb 2023 22:30:00 +0300
105	Фанаты турецкого клуба устроили акцию помощи пострадавшим в землетрясении детям	https://lenta.ru/news/2023/02/26/fans/	Sun, 26 Feb 2023 22:28:00 +0300
106	В США оценили необходимость военных контактов с Китаем	https://lenta.ru/news/2023/02/26/china/	Sun, 26 Feb 2023 22:21:00 +0300
107	США допустили возможность пересмотра вопроса принадлежности Крыма в будущем	https://lenta.ru/news/2023/02/26/crimea_future/	Sun, 26 Feb 2023 22:08:12 +0300
108	Боррель заявил о недостающих позициях в плане Китая по урегулированию на Украине	https://lenta.ru/news/2023/02/26/borrell_plan/	Sun, 26 Feb 2023 22:07:26 +0300
109	В Белоруссии опровергли сообщения о перестрелке на границе с Украиной	https://lenta.ru/news/2023/02/26/bel/	Sun, 26 Feb 2023 21:50:37 +0300
110	В США рассказали о потерях Польши на Украине	https://lenta.ru/news/2023/02/26/macgregor/	Sun, 26 Feb 2023 21:48:00 +0300
111	Германия решила восполнить свои военные запасы	https://lenta.ru/news/2023/02/26/vospolnenie/	Sun, 26 Feb 2023 21:48:00 +0300
112	Кондолиза Райс усомнилась в будущем вступлении Украины в НАТО	https://lenta.ru/news/2023/02/26/rais_nato/	Sun, 26 Feb 2023 21:28:37 +0300
113	Кондолиза Райс заявила об отставании США в предоставлении Украине помощи	https://lenta.ru/news/2023/02/26/time/	Sun, 26 Feb 2023 21:27:47 +0300
114	Во Франции заявили о провале антироссийских санкций	https://lenta.ru/news/2023/02/26/against/	Sun, 26 Feb 2023 21:19:00 +0300
115	Появились подробности о выходе Костомарова из комы	https://lenta.ru/news/2023/02/26/roman/	Sun, 26 Feb 2023 21:17:12 +0300
116	Посол России отреагировал на заявление премьера Канады о принадлежности Крыма	https://lenta.ru/news/2023/02/26/trudo/	Sun, 26 Feb 2023 21:09:37 +0300
117	Зеленский подписал указы о введении новых санкций против россиян	https://lenta.ru/news/2023/02/26/new_sanc/	Sun, 26 Feb 2023 21:07:00 +0300
118	В СК отреагировали на массовые задержания в российском торговом центре	https://lenta.ru/news/2023/02/26/galery/	Sun, 26 Feb 2023 20:56:27 +0300
119	Врач предупредила о вероятности для Саакашвили оказаться в реанимации	https://lenta.ru/news/2023/02/26/saakashvili/	Sun, 26 Feb 2023 20:50:16 +0300
120	Пожаловавшихся Путину иркутских мобилизованных переведут на новое место службы	https://lenta.ru/news/2023/02/26/voennie/	Sun, 26 Feb 2023 20:45:00 +0300
121	Помощник Байдена высказался о захвате Крыма Украиной	https://lenta.ru/news/2023/02/26/crimeaaa/	Sun, 26 Feb 2023 20:35:00 +0300
122	Клубы НХЛ обменялись российскими игроками	https://lenta.ru/news/2023/02/26/nhl/	Sun, 26 Feb 2023 20:25:00 +0300
123	Рестораны Великобритании стали убирать томаты из пиццы из-за их дороговизны	https://lenta.ru/news/2023/02/26/no_tomatoes_in_pizza/	Sun, 26 Feb 2023 20:20:00 +0300
124	ОМОН задержал больше сотни подростков в торговом центре в Петербурге	https://lenta.ru/news/2023/02/26/politsiyapodrostki/	Sun, 26 Feb 2023 20:01:32 +0300
125	США предупредили Китай о реальных издержках за помощь России	https://lenta.ru/news/2023/02/26/pomosh/	Sun, 26 Feb 2023 19:55:00 +0300
126	Американский разведчик назвал сроки капитуляции Украины	https://lenta.ru/news/2023/02/26/zelenskiy/	Sun, 26 Feb 2023 19:38:00 +0300
127	Губернатор российского региона сообщил об обстрелах со стороны Украины	https://lenta.ru/news/2023/02/26/kurskgubernator/	Sun, 26 Feb 2023 19:32:00 +0300
128	В России ответили на прогноз Киева об отсутствии примирения в ближайшие 100 лет	https://lenta.ru/news/2023/02/26/russia_ukraine/	Sun, 26 Feb 2023 19:27:00 +0300
129	Саудовская Аравия выделит Украине более 400 миллионов долларов	https://lenta.ru/news/2023/02/26/saud/	Sun, 26 Feb 2023 19:22:00 +0300
130	В Белом доме не исключили разговора Байдена и Си Цзиньпина в обозримом будущем	https://lenta.ru/news/2023/02/26/whitehouse/	Sun, 26 Feb 2023 19:22:00 +0300
131	Россиянин избил девушек-фельдшеров скорой помощи	https://lenta.ru/news/2023/02/26/izbil_vrachey/	Sun, 26 Feb 2023 19:12:19 +0300
132	Глава ЦРУ назвал отношения России и США глубоко враждебными	https://lenta.ru/news/2023/02/26/gluboko/	Sun, 26 Feb 2023 19:11:09 +0300
133	Российский велогонщик-чемпион погиб в ДТП в 13 лет	https://lenta.ru/news/2023/02/26/velo/	Sun, 26 Feb 2023 19:00:16 +0300
134	Тело мужчины заметили в Москве-реке в районе храма Христа Спасителя	https://lenta.ru/news/2023/02/26/teloo/	Sun, 26 Feb 2023 18:58:16 +0300
135	В российском регионе частично открыли движение по М-11 после массового ДТП	https://lenta.ru/news/2023/02/26/m_11/	Sun, 26 Feb 2023 18:55:00 +0300
136	В США призвали Зеленского показать открытость к диалогу об окончании конфликта	https://lenta.ru/news/2023/02/26/pryzyvv/	Sun, 26 Feb 2023 18:43:00 +0300
137	Фитнес-тренер объяснил пользу упражнения берпи	https://lenta.ru/news/2023/02/26/fitness/	Sun, 26 Feb 2023 18:37:16 +0300
138	Министр иностранных дел Саудовской Аравии встретился с Зеленским	https://lenta.ru/news/2023/02/26/saudi_arabia/	Sun, 26 Feb 2023 18:34:00 +0300
139	Число погибших при землетрясениях в Турции превысило 44 тысячи	https://lenta.ru/news/2023/02/26/pogib/	Sun, 26 Feb 2023 18:33:00 +0300
140	В правительстве Израиля одобрили законопроект о казни террористов	https://lenta.ru/news/2023/02/26/israelkazn/	Sun, 26 Feb 2023 18:32:00 +0300
141	Заявление США о продаже российской нефти выше предельной цены объяснили	https://lenta.ru/news/2023/02/26/neft_price/	Sun, 26 Feb 2023 18:28:03 +0300
142	Министр обороны Эстонии посетил Киев	https://lenta.ru/news/2023/02/26/pevkur/	Sun, 26 Feb 2023 18:22:00 +0300
143	Шмыгаль предрек России и Украине 100 лет без примирения	https://lenta.ru/news/2023/02/26/predrecc/	Sun, 26 Feb 2023 18:15:17 +0300
144	Еврокомиссия запретила чиновникам использовать TikTok на работе	https://lenta.ru/news/2023/02/26/no_tiktok/	Sun, 26 Feb 2023 18:12:18 +0300
145	Поезд столкнулся с грузовиком в Якутии	https://lenta.ru/news/2023/02/26/poezd/	Sun, 26 Feb 2023 18:09:40 +0300
146	В Запорожской области заявили о переброске частей ВСУ к границам Приднестровья	https://lenta.ru/news/2023/02/26/rogov_rogov/	Sun, 26 Feb 2023 18:02:00 +0300
147	Лукашенко разрешил белорусам выпить по 50 граммов на Масленицу	https://lenta.ru/news/2023/02/26/kulashenkobelorus/	Sun, 26 Feb 2023 17:59:57 +0300
148	Число погибших мигрантов при кораблекрушении в Италии выросло	https://lenta.ru/news/2023/02/26/58_people/	Sun, 26 Feb 2023 17:44:00 +0300
149	Volkswagen начал составлять черный список работающих с Россией автодилеров Китая	https://lenta.ru/news/2023/02/26/cars/	Sun, 26 Feb 2023 17:44:00 +0300
150	Китайский банк объяснил пропажу главы совета директоров действиями властей	https://lenta.ru/news/2023/02/26/propal/	Sun, 26 Feb 2023 17:42:00 +0300
151	Большунов оценил шансы россиян выступить на Олимпийских играх-2026	https://lenta.ru/news/2023/02/26/bolshunov/	Sun, 26 Feb 2023 17:25:00 +0300
152	Nokia представила новый логотип	https://lenta.ru/news/2023/02/26/nokiaa/	Sun, 26 Feb 2023 17:21:00 +0300
153	В Белом доме высказались об отправке истребителей Украине	https://lenta.ru/news/2023/02/26/fff/	Sun, 26 Feb 2023 17:17:00 +0300
154	Число попавших в ДТП на трассе М-11 машин выросло до 41	https://lenta.ru/news/2023/02/26/mmmm/	Sun, 26 Feb 2023 17:15:00 +0300
